django.utils.autoreload DEBUG 2023-12-20 19:23:59,148 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1700301303.2714627
django.utils.autoreload DEBUG 2023-12-20 19:23:59,148 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/utils/regex_helper.py first seen with mtime 1700301303.359716
django.utils.autoreload DEBUG 2023-12-20 19:23:59,148 autoreload 9640 140194417188928 File /usr/lib/python3.11/calendar.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,149 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/easyaudit/signals/request_signals.py first seen with mtime 1703058613.2902024
django.utils.autoreload DEBUG 2023-12-20 19:23:59,149 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumbers/data/alt_format_30.py first seen with mtime 1702979339.6213892
django.utils.autoreload DEBUG 2023-12-20 19:23:59,149 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/messages/storage/base.py first seen with mtime 1700301303.1029794
django.utils.autoreload DEBUG 2023-12-20 19:23:59,149 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumbers/phonenumberutil.py first seen with mtime 1702979339.605389
django.utils.autoreload DEBUG 2023-12-20 19:23:59,149 autoreload 9640 140194417188928 File /usr/lib/python3.11/http/client.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,149 autoreload 9640 140194417188928 File /usr/lib/python3.11/asyncio/staggered.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,149 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/backends/base/operations.py first seen with mtime 1700301303.2955317
django.utils.autoreload DEBUG 2023-12-20 19:23:59,149 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/models/functions/__init__.py first seen with mtime 1700301303.3196008
django.utils.autoreload DEBUG 2023-12-20 19:23:59,149 autoreload 9640 140194417188928 File /usr/lib/python3.11/sqlite3/__init__.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,149 autoreload 9640 140194417188928 File /usr/lib/python3.11/concurrent/futures/thread.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,149 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumbers/data/alt_format_676.py first seen with mtime 1702979339.6333892
django.utils.autoreload DEBUG 2023-12-20 19:23:59,150 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumbers/data/alt_format_64.py first seen with mtime 1702979339.6333892
django.utils.autoreload DEBUG 2023-12-20 19:23:59,150 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/easyaudit/signals/model_signals.py first seen with mtime 1703058613.2902024
django.utils.autoreload DEBUG 2023-12-20 19:23:59,150 autoreload 9640 140194417188928 File /usr/lib/python3.11/keyword.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,150 autoreload 9640 140194417188928 File /home/fabrice/Desktop/DjangoMainProject/DjangoValidationApp/app1/views.py first seen with mtime 1703095392.0041971
django.utils.autoreload DEBUG 2023-12-20 19:23:59,150 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/core/files/images.py first seen with mtime 1700301303.2794857
django.utils.autoreload DEBUG 2023-12-20 19:23:59,150 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumbers/data/alt_format_856.py first seen with mtime 1702979339.6373892
django.utils.autoreload DEBUG 2023-12-20 19:23:59,150 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/utils/termcolors.py first seen with mtime 1700301303.359716
django.utils.autoreload DEBUG 2023-12-20 19:23:59,150 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumbers/__init__.py first seen with mtime 1702979339.6013892
django.utils.autoreload DEBUG 2023-12-20 19:23:59,150 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/messages/__init__.py first seen with mtime 1700301303.098968
django.utils.autoreload DEBUG 2023-12-20 19:23:59,150 autoreload 9640 140194417188928 File /usr/lib/python3.11/asyncio/timeouts.py first seen with mtime 1686132789.0
